feature,source,current_support,review_reasoning,governance_note
account_status_under_review,Evidence summary,Ready now,Under-review status sets the review queue and prevents the model from treating the case as normal traffic.,Keep the source evidence ID with the feature.
kyc_status_unknown,Analyst note,Needs structured KYC field,Unknown KYC status changes the reviewer action from release to enhanced identity review.,Add KYC status as a structured field before scoring.
risk_score,Analyst note,"Ready for display, not enough for training","A 62 out of 100 score gives a case-level prior, but the system still needs evidence-level reasons.","Use as context, not as the training label."
deposit_total,Evidence summary,Ready now,High funding volume can trigger source-of-funds review.,Store currency and sample window with the total.
withdrawal_total,Evidence summary,Ready now,High payout movement creates exposure if the account later fails review.,Tie totals to the same sample window as deposits.
withdrawal_to_deposit_ratio,Evidence summary,Ready now,A 62 percent withdrawal-to-deposit ratio shows cash-out pressure.,Recalculate from raw rows once full wallet data is available.
fast_withdrawals_24h,Evidence summary,Ready now,Withdrawals soon after deposits are one of the clearest review triggers in this pack.,Keep the time threshold explicit and configurable.
payment_instrument_pattern,Wallet import,Prototype only,"Repeated card BINs, ACH withdrawals, and chargeback-linked deposits help a reviewer inspect funding behaviour.",Do not join this wallet sample to AC-1589269 without a matching account key.
device_ip_city_spread,Evidence summary,Ready now,"Five devices, 277 IPs, and 7 cities point to possible access churn or proxy behaviour.",Separate travel from proxy/account-sharing before enforcement.
betting_volume_and_rejected_wagers,Evidence summary,Ready now,"Bet count, stake, and rejected wager count help compare payment activity with platform usage.",Needs raw bet records for stronger playthrough analysis.
